envoy-1  | 2026-09-23T10:24:25.402281230Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.104)
envoy-1  | 2026-09-23T10:24:25.402358087Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:469] statically linked extensions:
envoy-1  | 2026-09-23T10:24:25.402371199Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.guarddog_actions: envoy.watchdog.abort_action, envoy.watchdog.profile_action
envoy-1  | 2026-09-23T10:24:25.402382198Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.transport_sockets.upstream: envoy.transport_sockets.alts, envoy.transport_sockets.internal_upstream, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tls, envoy.transport_sockets.upstream_proxy_protocol, raw_buffer, starttls, tls
envoy-1  | 2026-09-23T10:24:25.402394046Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.retry_priorities: envoy.retry_priorities.previous_priorities
envoy-1  | 2026-09-23T10:24:25.402404086Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.stats_sinks: envoy.dog_statsd, envoy.graphite_statsd, envoy.metrics_service, envoy.open_telemetry_stat_sink, envoy.stat_sinks.dog_statsd, envoy.stat_sinks.graphite_statsd, envoy.stat_sinks.hystrix, envoy.stat_sinks.metrics_service, envoy.stat_sinks.open_telemetry, envoy.stat_sinks.statsd, envoy.stat_sinks.wasm, envoy.statsd
envoy-1  | 2026-09-23T10:24:25.402415459Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.regex_engines: envoy.regex_engines.google_re2
envoy-1  | 2026-09-23T10:24:25.402425399Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
envoy-1  | 2026-09-23T10:24:25.402435558Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.listener_manager_impl: envoy.listener_manager_impl.default, envoy.listener_manager_impl.validation
envoy-1  | 2026-09-23T10:24:25.402451522Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.http.input: envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.status_code_class_input, envoy.matching.inputs.status_code_input, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san, query_params
envoy-1  | 2026-09-23T10:24:25.402465258Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
envoy-1  | 2026-09-23T10:24:25.402475219Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
envoy-1  | 2026-09-23T10:24:25.402485391Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.transports: auto, framed, header, unframed
envoy-1  | 2026-09-23T10:24:25.402508458Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route_config_update_requester: envoy.route_config_update_requester.default
envoy-1  | 2026-09-23T10:24:25.402519038Z [2026-09-23 10:24:25.401][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_mux: envoy.config_mux.delta_grpc_mux_factory, envoy.config_mux.grpc_mux_factory, envoy.config_mux.new_grpc_mux_factory, envoy.config_mux.sotw_grpc_mux_factory
