envoy-1  | 2026-09-23T10:20:23.432122125Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.104)
envoy-1  | 2026-09-23T10:20:23.432230305Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:469] statically linked extensions:
envoy-1  | 2026-09-23T10:20:23.432244254Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.connection_handler: envoy.connection_handler.default
envoy-1  | 2026-09-23T10:20:23.432255225Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.upstream_network: envoy.filters.network.upstream.metadata_exchange
envoy-1  | 2026-09-23T10:20:23.432268561Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.bootstrap: envoy.bootstrap.internal_listener, envoy.bootstrap.wasm, envoy.bootstrap.workload_discovery, envoy.extensions.network.socket_interface.default_socket_interface
envoy-1  | 2026-09-23T10:20:23.432279294Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.header_validators: envoy.http.header_validators.envoy_default
envoy-1  | 2026-09-23T10:20:23.432290042Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.request_id: envoy.request_id.uuid
envoy-1  | 2026-09-23T10:20:23.432300142Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.network.connection_balance: envoy.network.connection_balance.dlb
envoy-1  | 2026-09-23T10:20:23.432310306Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route_config_update_requester: envoy.route_config_update_requester.default
envoy-1  | 2026-09-23T10:20:23.432320126Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.match: envoy.path.match.uri_template.uri_template_matcher
envoy-1  | 2026-09-23T10:20:23.432330055Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.cache: envoy.extensions.http.cache.file_system_http_cache, envoy.extensions.http.cache.simple
envoy-1  | 2026-09-23T10:20:23.432342358Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.network.input: envoy.matching.inputs.application_protocol, envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.subject, envoy.matching.inputs.transport_protocol, envoy.matching.inputs.uri_san
envoy-1  | 2026-09-23T10:20:23.432354802Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.extensions.upstreams.tcp.v3.TcpProtocolOptions, envoy.upstreams.http.http_protocol_options, envoy.upstreams.tcp.tcp_protocol_options
envoy-1  | 2026-09-23T10:20:23.432365463Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
envoy-1  | 2026-09-23T10:20:23.432377295Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.network: envoy.echo, envoy.ext_authz, envoy.filters.network.connect_authority, envoy.filters.network.connection_limit, envoy.filters.network.direct_response, envoy.filters.network.dubbo_proxy, envoy.filters.network.echo, envoy.filters.network.ext_authz, envoy.filters.network.golang, envoy.filters.network.http_connection_manager, envoy.filters.network.istio_stats, envoy.filters.network.kafka_broker, envoy.filters.network.kafka_mesh, envoy.filters.network.local_ratelimit, envoy.filters.network.metadata_exchange, envoy.filters.network.mongo_proxy, envoy.filters.network.mysql_proxy, envoy.filters.network.postgres_proxy, envoy.filters.network.ratelimit, envoy.filters.network.rbac, envoy.filters.network.redis_proxy, envoy.filters.network.rocketmq_proxy, envoy.filters.network.sip_proxy, envoy.filters.network.sni_cluster, envoy.filters.network.sni_dynamic_forward_proxy, envoy.filters.network.tcp_cluster_rewrite, envoy.filters.network.tcp_proxy, envoy.filters.network.thrift_proxy, envoy.filters.network.wasm, envoy.filters.network.zookeeper_proxy, envoy.http_connection_manager, envoy.mongo_proxy, envoy.ratelimit, envoy.redis_proxy, envoy.tcp_proxy, forward_downstream_sni, io.istio.network.authn, sni_verifier
envoy-1  | 2026-09-23T10:20:23.432406643Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.stat_matching_data.input: stat_full_name_match_input
envoy-1  | 2026-09-23T10:20:23.432417015Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
envoy-1  | 2026-09-23T10:20:23.432426860Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.ssl.server_context_factory: envoy.ssl.server_context_factory.default
envoy-1  | 2026-09-23T10:20:23.432436915Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tls.cert_validator: envoy.tls.cert_validator.default, envoy.tls.cert_validator.spiffe
envoy-1  | 2026-09-23T10:20:23.432446832Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.clusters: envoy.cluster.dns, envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
envoy-1  | 2026-09-23T10:20:23.432457615Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.custom_response: envoy.extensions.http.custom_response.local_response_policy, envoy.extensions.http.custom_response.redirect_policy
envoy-1  | 2026-09-23T10:20:23.432467876Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rds_factory: envoy.rds_factory.default
envoy-1  | 2026-09-23T10:20:23.432477588Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
envoy-1  | 2026-09-23T10:20:23.432487836Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
envoy-1  | 2026-09-23T10:20:23.432497763Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
envoy-1  | 2026-09-23T10:20:23.432508479Z [2026-09-23 10:20:23.431][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route.early_data_policy: envoy.route.early_data_policy.default
