envoy-1  | 2026-09-23T10:11:13.221895357Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.104)
envoy-1  | 2026-09-23T10:11:13.221941251Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:469] statically linked extensions:
envoy-1  | 2026-09-23T10:11:13.221946816Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.connection_handler: envoy.connection_handler.default
envoy-1  | 2026-09-23T10:11:13.221951203Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.upstream_network: envoy.filters.network.upstream.metadata_exchange
envoy-1  | 2026-09-23T10:11:13.221955348Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.bootstrap: envoy.bootstrap.internal_listener, envoy.bootstrap.wasm, envoy.bootstrap.workload_discovery, envoy.extensions.network.socket_interface.default_socket_interface
envoy-1  | 2026-09-23T10:11:13.221959759Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.header_validators: envoy.http.header_validators.envoy_default
envoy-1  | 2026-09-23T10:11:13.221964286Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.request_id: envoy.request_id.uuid
envoy-1  | 2026-09-23T10:11:13.221968219Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.network.connection_balance: envoy.network.connection_balance.dlb
envoy-1  | 2026-09-23T10:11:13.221972291Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route_config_update_requester: envoy.route_config_update_requester.default
redis-fixture-1  | 2026-09-23T10:11:33.928077040Z {"seq": 0, "time_ns": 3388705539919, "event": "upstream_seen", "id": "warmup", "headers": {"host": "127.0.0.1:19468", "user-agent": "curl/7.81.0", "accept": "*/*", "x-higress-skip-response-cache": "on", "x-forwarded-proto": "http", "x-envoy-original-host": "127.0.0.1:19468", "x-request-id": "c0443072-ceba-43df-aff5-a6a913cf18ed", "x-envoy-expected-rq-timeout-ms": "15000", "req-start-time": "1790158293925"}}
redis-fixture-1  | 2026-09-23T10:11:33.936019145Z {"seq": 0, "time_ns": 3388713581721, "event": "prepared", "id": "timeout-r1-000", "mode": "timeout", "key": "higress-audit:timeout-r1-000", "value": "{\"source\":\"cache\",\"value\":\"fixture-only\"}"}
envoy-1          | 2026-09-23T10:11:13.221976248Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.match: envoy.path.match.uri_template.uri_template_matcher
redis-fixture-1  | 2026-09-23T10:11:33.952340039Z {"seq": 1, "time_ns": 3388729931049, "event": "redis_command", "id": "timeout-r1-000", "command": "GET", "args": ["higress-audit:timeout-r1-000"]}
envoy-1          | 2026-09-23T10:11:13.221980323Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.cache: envoy.extensions.http.cache.file_system_http_cache, envoy.extensions.http.cache.simple
envoy-1          | 2026-09-23T10:11:13.222065883Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.network.input: envoy.matching.inputs.application_protocol, envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.subject, envoy.matching.inputs.transport_protocol, envoy.matching.inputs.uri_san
envoy-1          | 2026-09-23T10:11:13.222108227Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.extensions.upstreams.tcp.v3.TcpProtocolOptions, envoy.upstreams.http.http_protocol_options, envoy.upstreams.tcp.tcp_protocol_options
envoy-1          | 2026-09-23T10:11:13.222121756Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
