envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:413] initializing epoch 0 (base id=0, hot restart version=11.104)
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:415] statically linked extensions:
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.thrift_proxy.transports: auto, framed, header, unframed
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.internal_redirect_predicates: envoy.internal_redirect_predicates.allow_listed_routes, envoy.internal_redirect_predicates.previous_routes, envoy.internal_redirect_predicates.safe_cross_scheme
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.guarddog_actions: envoy.watchdog.abort_action, envoy.watchdog.profile_action
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.regex_engines: envoy.regex_engines.google_re2
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.matching.network.custom_matchers: envoy.matching.custom_matchers.trie_matcher
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.transport_sockets.upstream: envoy.transport_sockets.alts, envoy.transport_sockets.internal_upstream, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tls, envoy.transport_sockets.upstream_proxy_protocol, raw_buffer, starttls, tls
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.listener_manager_impl: envoy.listener_manager_impl.default, envoy.listener_manager_impl.validation
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.upstreams: envoy.filters.connection_pools.http.dubbo_tcp, envoy.filters.connection_pools.http.generic, envoy.filters.connection_pools.http.http, envoy.filters.connection_pools.http.tcp
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.matching.http.input: envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.status_code_class_input, envoy.matching.inputs.status_code_input, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san, query_params
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.udp_packet_writer: envoy.udp_packet_writer.default, envoy.udp_packet_writer.gso
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.filters.http.upstream: envoy.buffer, envoy.filters.http.admission_control, envoy.filters.http.buffer, envoy.filters.http.header_mutation, envoy.filters.http.upstream_codec
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.matching.input_matchers: envoy.matching.matchers.consistent_hashing, envoy.matching.matchers.ip
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.path.match: envoy.path.match.uri_template.uri_template_matcher
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.matching.http.custom_matchers: envoy.matching.custom_matchers.trie_matcher
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.filters.network: envoy.echo, envoy.ext_authz, envoy.filters.network.connect_authority, envoy.filters.network.connection_limit, envoy.filters.network.direct_response, envoy.filters.network.dubbo_proxy, envoy.filters.network.echo, envoy.filters.network.ext_authz, envoy.filters.network.golang, envoy.filters.network.http_connection_manager, envoy.filters.network.istio_stats, envoy.filters.network.kafka_broker, envoy.filters.network.kafka_mesh, envoy.filters.network.local_ratelimit, envoy.filters.network.metadata_exchange, envoy.filters.network.mongo_proxy, envoy.filters.network.mysql_proxy, envoy.filters.network.postgres_proxy, envoy.filters.network.ratelimit, envoy.filters.network.rbac, envoy.filters.network.redis_proxy, envoy.filters.network.rocketmq_proxy, envoy.filters.network.sip_proxy, envoy.filters.network.sni_cluster, envoy.filters.network.sni_dynamic_forward_proxy, envoy.filters.network.tcp_cluster_rewrite, envoy.filters.network.tcp_proxy, envoy.filters.network.thrift_proxy, envoy.filters.network.wasm, envoy.filters.network.zookeeper_proxy, envoy.http_connection_manager, envoy.mongo_proxy, envoy.ratelimit, envoy.redis_proxy, envoy.tcp_proxy, forward_downstream_sni, io.istio.network.authn, sni_verifier
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.dubbo_proxy.protocols: dubbo
envoy-1  | [2026-08-11 11:14:49.470][7][info][main] [external/envoy/source/server/server.cc:417]   envoy.filters.upstream_network: envoy.filters.network.upstream.metadata_exchange
