cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.version_text: "2026-08-29T18:54:14Z/7"
cluster_manager.cds.version_text: "2026-08-29T18:54:14Z/7"
control_plane.identifier: ""
extension_config_discovery.http_filter.golang-filter-mcp-server.version_text: "2026-08-29T18:54:14Z/7"
extension_config_discovery.http_filter.golang-filter-mcp-session.version_text: "2026-08-29T18:54:14Z/7"
http.outbound_0.0.0.0_80.rds.higress-rds-80.pr4286.example.com.version_text: "2026-08-29T18:54:14Z/7"
http.outbound_0.0.0.0_80.scoped_rds.scoped-route.version_text: "2026-08-29T18:54:14Z/7"
listener_manager.lds.version_text: "2026-08-29T18:54:14Z/7"
cluster.BlackHoleCluster.assignment_stale: 0
cluster.BlackHoleCluster.assignment_timeout_received: 0
cluster.BlackHoleCluster.assignment_use_cached: 0
cluster.BlackHoleCluster.circuit_breakers.default.cx_open: 0
cluster.BlackHoleCluster.circuit_breakers.default.cx_pool_open: 0
cluster.BlackHoleCluster.circuit_breakers.default.rq_open: 0
cluster.BlackHoleCluster.circuit_breakers.default.rq_pending_open: 0
cluster.BlackHoleCluster.circuit_breakers.default.rq_retry_open: 0
cluster.BlackHoleCluster.circuit_breakers.high.cx_open: 0
cluster.BlackHoleCluster.circuit_breakers.high.cx_pool_open: 0
cluster.BlackHoleCluster.circuit_breakers.high.rq_open: 0
cluster.BlackHoleCluster.circuit_breakers.high.rq_pending_open: 0
cluster.BlackHoleCluster.circuit_breakers.high.rq_retry_open: 0
cluster.BlackHoleCluster.default.total_match_count: 0
cluster.BlackHoleCluster.lb_healthy_panic: 0
cluster.BlackHoleCluster.lb_local_cluster_not_ok: 0
cluster.BlackHoleCluster.lb_recalculate_zone_structures: 0
cluster.BlackHoleCluster.lb_subsets_active: 0
cluster.BlackHoleCluster.lb_subsets_created: 0
cluster.BlackHoleCluster.lb_subsets_fallback: 0
cluster.BlackHoleCluster.lb_subsets_fallback_panic: 0
cluster.BlackHoleCluster.lb_subsets_removed: 0
cluster.BlackHoleCluster.lb_subsets_selected: 0
cluster.BlackHoleCluster.lb_zone_cluster_too_small: 0
cluster.BlackHoleCluster.lb_zone_no_capacity_left: 0
cluster.BlackHoleCluster.lb_zone_routing_all_directly: 0
cluster.BlackHoleCluster.lb_zone_routing_cross_zone: 0
cluster.BlackHoleCluster.lb_zone_routing_sampled: 0
cluster.BlackHoleCluster.max_host_weight: 0
cluster.BlackHoleCluster.membership_change: 0
cluster.BlackHoleCluster.membership_degraded: 0
cluster.BlackHoleCluster.membership_excluded: 0
cluster.BlackHoleCluster.membership_healthy: 0
cluster.BlackHoleCluster.membership_total: 0
cluster.BlackHoleCluster.update_attempt: 0
cluster.BlackHoleCluster.update_empty: 0
cluster.BlackHoleCluster.update_failure: 0
cluster.BlackHoleCluster.update_no_rebuild: 0
cluster.BlackHoleCluster.update_success: 0
cluster.BlackHoleCluster.version: 0
cluster.BlackHoleCluster.warming_state: 0
cluster.agent.assignment_stale: 0
cluster.agent.assignment_timeout_received: 0
cluster.agent.assignment_use_cached: 0
cluster.agent.bind_errors: 0
cluster.agent.circuit_breakers.default.cx_open: 0
cluster.agent.circuit_breakers.default.cx_pool_open: 0
cluster.agent.circuit_breakers.default.rq_open: 0
cluster.agent.circuit_breakers.default.rq_pending_open: 0
cluster.agent.circuit_breakers.default.rq_retry_open: 0
cluster.agent.circuit_breakers.high.cx_open: 0
cluster.agent.circuit_breakers.high.cx_pool_open: 0
cluster.agent.circuit_breakers.high.rq_open: 0
cluster.agent.circuit_breakers.high.rq_pending_open: 0
cluster.agent.circuit_breakers.high.rq_retry_open: 0
cluster.agent.default.total_match_count: 1
cluster.agent.external.upstream_rq_200: 250
cluster.agent.external.upstream_rq_2xx: 250
cluster.agent.external.upstream_rq_completed: 250
cluster.agent.http1.dropped_headers_with_underscores: 0
cluster.agent.http1.metadata_not_supported_error: 0
cluster.agent.http1.requests_rejected_with_underscores_in_headers: 0
cluster.agent.http1.response_flood: 0
cluster.agent.lb_healthy_panic: 0
cluster.agent.lb_local_cluster_not_ok: 0
cluster.agent.lb_recalculate_zone_structures: 0
cluster.agent.lb_subsets_active: 0
cluster.agent.lb_subsets_created: 0
cluster.agent.lb_subsets_fallback: 0
cluster.agent.lb_subsets_fallback_panic: 0
cluster.agent.lb_subsets_removed: 0
cluster.agent.lb_subsets_selected: 0
cluster.agent.lb_zone_cluster_too_small: 0
cluster.agent.lb_zone_no_capacity_left: 0
cluster.agent.lb_zone_routing_all_directly: 0
cluster.agent.lb_zone_routing_cross_zone: 0
cluster.agent.lb_zone_routing_sampled: 0
cluster.agent.max_host_weight: 0
cluster.agent.membership_change: 1
cluster.agent.membership_degraded: 0
cluster.agent.membership_excluded: 0
cluster.agent.membership_healthy: 1
cluster.agent.membership_total: 1
cluster.agent.original_dst_host_invalid: 0
cluster.agent.retry_or_shadow_abandoned: 0
cluster.agent.update_attempt: 0
cluster.agent.update_empty: 0
cluster.agent.update_failure: 0
cluster.agent.update_no_rebuild: 0
cluster.agent.update_success: 0
cluster.agent.upstream_cx_active: 74
cluster.agent.upstream_cx_close_notify: 0
cluster.agent.upstream_cx_connect_attempts_exceeded: 0
cluster.agent.upstream_cx_connect_fail: 0
cluster.agent.upstream_cx_connect_timeout: 0
cluster.agent.upstream_cx_connect_with_0_rtt: 0
cluster.agent.upstream_cx_destroy: 0
cluster.agent.upstream_cx_destroy_local: 0
cluster.agent.upstream_cx_destroy_local_with_active_rq: 0
cluster.agent.upstream_cx_destroy_remote: 0
cluster.agent.upstream_cx_destroy_remote_with_active_rq: 0
cluster.agent.upstream_cx_destroy_with_active_rq: 0
cluster.agent.upstream_cx_http1_total: 74
cluster.agent.upstream_cx_http2_total: 0
cluster.agent.upstream_cx_http3_total: 0
cluster.agent.upstream_cx_idle_timeout: 0
cluster.agent.upstream_cx_max_duration_reached: 0
cluster.agent.upstream_cx_max_requests: 0
cluster.agent.upstream_cx_none_healthy: 0
cluster.agent.upstream_cx_overflow: 0
cluster.agent.upstream_cx_pool_overflow: 0
cluster.agent.upstream_cx_protocol_error: 0
cluster.agent.upstream_cx_rx_bytes_buffered: 5550
cluster.agent.upstream_cx_rx_bytes_total: 18750
cluster.agent.upstream_cx_total: 74
cluster.agent.upstream_cx_tx_bytes_buffered: 0
cluster.agent.upstream_cx_tx_bytes_total: 71250
cluster.agent.upstream_flow_control_backed_up_total: 0
cluster.agent.upstream_flow_control_drained_total: 0
cluster.agent.upstream_flow_control_paused_reading_total: 0
cluster.agent.upstream_flow_control_resumed_reading_total: 0
cluster.agent.upstream_http3_broken: 0
cluster.agent.upstream_internal_redirect_failed_total: 0
cluster.agent.upstream_internal_redirect_succeeded_total: 0
cluster.agent.upstream_rq_0rtt: 0
cluster.agent.upstream_rq_200: 250
cluster.agent.upstream_rq_2xx: 250
cluster.agent.upstream_rq_active: 0
cluster.agent.upstream_rq_cancelled: 0
cluster.agent.upstream_rq_completed: 250
cluster.agent.upstream_rq_maintenance_mode: 0
cluster.agent.upstream_rq_max_duration_reached: 0
cluster.agent.upstream_rq_pending_active: 0
cluster.agent.upstream_rq_pending_failure_eject: 0
cluster.agent.upstream_rq_pending_overflow: 0
cluster.agent.upstream_rq_pending_total: 74
cluster.agent.upstream_rq_per_try_idle_timeout: 0
cluster.agent.upstream_rq_per_try_timeout: 0
cluster.agent.upstream_rq_retry: 0
cluster.agent.upstream_rq_retry_backoff_exponential: 0
cluster.agent.upstream_rq_retry_backoff_ratelimited: 0
cluster.agent.upstream_rq_retry_limit_exceeded: 0
cluster.agent.upstream_rq_retry_overflow: 0
cluster.agent.upstream_rq_retry_success: 0
cluster.agent.upstream_rq_rx_reset: 0
cluster.agent.upstream_rq_timeout: 0
cluster.agent.upstream_rq_total: 250
cluster.agent.upstream_rq_tx_reset: 0
cluster.agent.version: 0
cluster.agent.warming_state: 0
